# TargetTemp,ActualTemp,Duty,ConvVolt,ZenerVolt
10.0,9.99,0,5.000,5.000
10.0,9.99,16,5.070,5.070
10.0,9.98,32,5.150,5.150
10.0,9.98,48,5.230,5.230
10.0,9.97,64,5.319,5.319
10.0,9.97,80,5.407,5.407
10.0,9.96,96,5.505,5.505
10.0,9.95,112,5.602,5.602
10.0,9.95,128,5.700,5.700
10.0,9.94,144,5.806,5.806
10.0,9.94,160,5.913,5.913
10.0,9.93,176,6.019,6.019
10.0,9.93,192,6.134,6.134
10.0,9.92,208,6.258,6.258
10.0,9.91,224,6.382,6.382
10.0,9.91,240,6.515,6.515
10.0,9.90,256,6.648,6.648
10.0,9.90,272,6.790,6.790
10.0,9.89,288,6.941,6.941
10.0,9.89,304,7.092,7.092
10.0,9.88,320,7.251,7.251
10.0,9.88,336,7.420,7.420
10.0,9.87,352,7.597,7.597
10.0,9.86,368,7.783,7.783
10.0,9.86,384,7.978,7.978
10.0,9.85,400,8.182,8.182
10.0,9.85,416,8.395,8.395
10.0,9.84,432,8.625,8.625
10.0,9.84,448,8.864,8.864
10.0,9.83,464,9.113,9.113
10.0,9.82,480,9.387,9.387
10.0,9.82,496,9.671,9.671
10.0,9.81,512,9.973,9.973
10.0,9.81,528,10.292,10.292
10.0,9.80,544,10.628,10.628
10.0,9.80,560,11.001,11.001
10.0,9.79,576,11.391,11.391
10.0,9.79,592,11.816,11.816
10.0,9.78,608,12.268,12.268
10.0,9.77,624,12.756,12.756
10.0,9.77,640,13.288,13.288
10.0,9.76,656,13.864,13.864
10.0,9.76,672,14.493,14.493
10.0,9.75,688,15.185,14.848
10.0,9.75,704,15.938,14.919
10.0,9.74,720,16.780,14.990
10.0,9.74,736,17.702,15.078
10.0,9.73,752,18.748,15.167
10.0,9.72,768,19.910,15.273
10.0,9.72,784,21.239,15.398
10.0,9.71,800,22.755,15.531
10.0,9.71,816,24.493,15.690
10.0,9.70,832,26.531,15.876
10.0,9.70,848,28.934,16.098
10.0,9.69,864,31.815,16.355
10.0,9.69,880,35.343,16.674
10.0,9.68,896,36.300,17.082
10.0,9.67,912,36.300,17.596
10.0,9.67,928,36.300,18.013
10.0,9.66,944,36.300,18.013
10.0,9.66,960,36.300,18.013
10.0,9.65,976,36.300,18.013
10.0,9.65,992,36.300,18.013
10.0,9.64,1008,36.300,18.013

20.0,20.01,0,9.831,9.831
20.0,20.02,16,5.585,5.585
20.0,20.03,32,5.203,5.203
20.0,20.05,48,5.239,5.239
20.0,20.06,64,5.319,5.319
20.0,20.07,80,5.407,5.407
20.0,20.08,96,5.505,5.505
20.0,20.09,112,5.602,5.602
20.0,20.11,128,5.700,5.700
20.0,20.12,144,5.806,5.806
20.0,20.13,160,5.913,5.913
20.0,20.14,176,6.019,6.019
20.0,20.16,192,6.134,6.134
20.0,20.17,208,6.258,6.258
20.0,20.18,224,6.382,6.382
20.0,20.19,240,6.515,6.515
20.0,20.20,256,6.648,6.648
20.0,20.22,272,6.790,6.790
20.0,20.23,288,6.941,6.941
20.0,20.24,304,7.092,7.092
20.0,20.25,320,7.251,7.251
20.0,20.27,336,7.420,7.420
20.0,20.28,352,7.597,7.597
20.0,20.29,368,7.783,7.783
20.0,20.30,384,7.978,7.978
20.0,20.32,400,8.182,8.182
20.0,20.33,416,8.395,8.395
20.0,20.34,432,8.625,8.625
20.0,20.35,448,8.864,8.864
20.0,20.36,464,9.113,9.113
20.0,20.38,480,9.387,9.387
20.0,20.39,496,9.671,9.671
20.0,20.40,512,9.973,9.973
20.0,20.41,528,10.292,10.292
20.0,20.42,544,10.628,10.628
20.0,20.44,560,11.001,11.001
20.0,20.45,576,11.391,11.391
20.0,20.46,592,11.816,11.816
20.0,20.47,608,12.268,12.268
20.0,20.49,624,12.756,12.756
20.0,20.50,640,13.288,13.288
20.0,20.51,656,13.864,13.864
20.0,20.52,672,14.493,14.493
20.0,20.53,688,15.185,14.963
20.0,20.55,704,15.938,15.034
20.0,20.56,720,16.780,15.105
20.0,20.57,736,17.702,15.194
20.0,20.58,752,18.748,15.291
20.0,20.60,768,19.910,15.398
20.0,20.61,784,21.239,15.513
20.0,20.62,800,22.755,15.655
20.0,20.63,816,24.493,15.814
20.0,20.64,832,26.531,16.000
20.0,20.66,848,28.934,16.213
20.0,20.67,864,31.815,16.479
20.0,20.68,880,35.343,16.798
20.0,20.69,896,36.300,17.197
20.0,20.70,912,36.300,17.711
20.0,20.72,928,36.300,18.128
20.0,20.73,944,36.300,18.128
20.0,20.74,960,36.300,18.128
20.0,20.75,976,36.300,18.128
20.0,20.76,992,36.300,18.128
20.0,20.78,1008,36.300,18.128

30.0,30.01,0,9.831,9.831
30.0,30.03,16,5.585,5.585
30.0,30.04,32,5.203,5.203
30.0,30.06,48,5.239,5.239
30.0,30.07,64,5.319,5.319
30.0,30.09,80,5.407,5.407
30.0,30.10,96,5.505,5.505
30.0,30.11,112,5.602,5.602
30.0,30.13,128,5.700,5.700
30.0,30.14,144,5.806,5.806
30.0,30.16,160,5.913,5.913
30.0,30.17,176,6.019,6.019
30.0,30.19,192,6.134,6.134
30.0,30.20,208,6.258,6.258
30.0,30.21,224,6.382,6.382
30.0,30.23,240,6.515,6.515
30.0,30.24,256,6.648,6.648
30.0,30.26,272,6.790,6.790
30.0,30.27,288,6.941,6.941
30.0,30.29,304,7.092,7.092
30.0,30.30,320,7.251,7.251
30.0,30.31,336,7.420,7.420
30.0,30.33,352,7.597,7.597
30.0,30.34,368,7.783,7.783
30.0,30.36,384,7.978,7.978
30.0,30.37,400,8.182,8.182
30.0,30.39,416,8.395,8.395
30.0,30.40,432,8.625,8.625
30.0,30.41,448,8.864,8.864
30.0,30.43,464,9.113,9.113
30.0,30.44,480,9.387,9.387
30.0,30.46,496,9.671,9.671
30.0,30.47,512,9.973,9.973
30.0,30.48,528,10.292,10.292
30.0,30.50,544,10.628,10.628
30.0,30.51,560,11.001,11.001
30.0,30.53,576,11.391,11.391
30.0,30.54,592,11.816,11.816
30.0,30.56,608,12.268,12.268
30.0,30.57,624,12.756,12.756
30.0,30.58,640,13.288,13.288
30.0,30.60,656,13.864,13.864
30.0,30.61,672,14.493,14.493
30.0,30.63,688,15.185,15.070
30.0,30.64,704,15.938,15.141
30.0,30.65,720,16.780,15.220
30.0,30.67,736,17.702,15.300
30.0,30.68,752,18.748,15.398
30.0,30.70,768,19.910,15.504
30.0,30.71,784,21.239,15.628
30.0,30.72,800,22.755,15.761
30.0,30.74,816,24.493,15.921
30.0,30.75,832,26.531,16.107
30.0,30.77,848,28.934,16.328
30.0,30.78,864,31.815,16.585
30.0,30.80,880,35.343,16.905
30.0,30.81,896,36.300,17.312
30.0,30.82,912,36.300,17.826
30.0,30.84,928,36.300,18.243
30.0,30.85,944,36.300,18.243
30.0,30.87,960,36.300,18.243
30.0,30.88,976,36.300,18.243
30.0,30.89,992,36.300,18.243
30.0,30.91,1008,36.300,18.243

40.0,40.01,0,9.831,9.831
40.0,40.02,16,5.585,5.585
40.0,40.03,32,5.203,5.203
40.0,40.04,48,5.239,5.239
40.0,40.05,64,5.319,5.319
40.0,40.06,80,5.407,5.407
40.0,40.07,96,5.505,5.505
40.0,40.09,112,5.602,5.602
40.0,40.10,128,5.700,5.700
40.0,40.11,144,5.806,5.806
40.0,40.12,160,5.913,5.913
40.0,40.13,176,6.019,6.019
40.0,40.14,192,6.134,6.134
40.0,40.15,208,6.258,6.258
40.0,40.16,224,6.382,6.382
40.0,40.17,240,6.515,6.515
40.0,40.18,256,6.648,6.648
40.0,40.20,272,6.790,6.790
40.0,40.21,288,6.941,6.941
40.0,40.22,304,7.092,7.092
40.0,40.23,320,7.251,7.251
40.0,40.24,336,7.420,7.420
40.0,40.25,352,7.597,7.597
40.0,40.26,368,7.783,7.783
40.0,40.27,384,7.978,7.978
40.0,40.28,400,8.182,8.182
40.0,40.29,416,8.395,8.395
40.0,40.30,432,8.625,8.625
40.0,40.32,448,8.864,8.864
40.0,40.33,464,9.113,9.113
