# TargetTemp,ActualTemp,Duty,ConvVolt,ZenerVolt
10.00,10.00,0,4.99,4.99
10.00,10.00,256,6.67,6.67
10.00,10.00,512,10.00,10.00
10.00,10.00,768,20.04,14.85

20.00,20.00,0,4.99,4.99
20.00,20.00,256,6.67,6.67
20.00,20.00,512,10.00,10.00
20.00,20.00,768,20.04,14.95

30.00,30.00,0,4.99,4.99
30.00,30.00,256,6.67,6.67
30.00,30.00,512,10.00,10.00
30.00,30.00,768,20.04,15.04

40.00,40.00,0,4.99,4.99
40.00,40.00,256,6.67,6.67
40.00,40.00,512,10.00,10.00
40.00,40.00,768,20.04,15.15

50.00,50.00,0,4.99,4.99
50.00,50.00,256,6.67,6.67
50.00,50.00,512,10.00,10.00
50.00,50.00,768,20.04,15.25

60.00,60.00,0,4.99,4.99
60.00,60.00,256,6.67,6.67
60.00,60.00,512,10.00,10.00
60.00,60.00,768,20.04,15.34
